Wed Jan 18 00:32:01 UTC 2017
Data Source: torstatus.blutmagie.de

The Tor BSD Diversity Project
https://torbsd.github.io/dirty-stats.html
Quick-and-Dirty Static Reports

'Bandwidth Ranking by Country Code'

Total Bandwidth of Tor Network:
10927755 Kbps
----------
-cc- -Kbps-   -percent-
FR   2992946  27.3885%
DE   2218025  20.2972%
NL   1339849  12.261%
US   856367   7.83662%
SE   418155   3.82654%
GB   371557   3.40012%
CA   323144   2.95709%
RO   314512   2.8781%
CH   300477   2.74967%
RU   210512   1.9264%
UA   154836   1.41691%
CZ   146360   1.33934%
DK   125902   1.15213%
IT   123337   1.12866%
NO   113866   1.04199%
LU   92839    0.849571%
AT   89403    0.818128%
HU   81496    0.745771%
PL   79729    0.729601%
SK   71672    0.655871%
MD   68261    0.624657%
LV   49424    0.45228%
BG   39746    0.363716%
SC   38142    0.349038%
FI   38104    0.34869%
LR   32385    0.296355%
LT   24130    0.220814%
ES   23261    0.212862%
PA   19286    0.176486%
EU   18233    0.16685%
GR   18209    0.166631%
BE   17211    0.157498%
IL   16398    0.150058%
PT   11984    0.109666%
IE   11097    0.101549%
IS   9475     0.0867058%
AU   7505     0.0686783%
EE   6123     0.0560316%
KN   4591     0.0420123%
A1   4511     0.0412802%
SI   4395     0.0402187%
JP   4011     0.0367047%
SG   4003     0.0366315%
IN   3976     0.0363844%
BR   3515     0.0321658%
RS   3350     0.0306559%
TR   2736     0.0250372%
GT   2690     0.0246162%
HR   2368     0.0216696%
N/A  2354     0.0215415%
AL   1994     0.0182471%
ZA   1582     0.0144769%
HK   1235     0.0113015%
CR   1194     0.0109263%
TW   1056     0.00966347%
ID   631      0.00577429%
GI   461      0.00421862%
KE   398      0.0036421%
AR   380      0.00347738%
CY   360      0.00329436%
IM   345      0.0031571%
KG   323      0.00295578%
MY   260      0.00237926%
VN   199      0.00182105%
EG   178      0.00162888%
KR   136      0.00124454%
NZ   127      0.00116218%
TH   94       0.000860195%
MX   85       0.000777836%
AM   78       0.000713779%
DO   72       0.000658873%
CN   30       0.00027453%
PK   24       0.000219624%
TN   15       0.000137265%
MN   13       0.000118963%
BZ   11       0.000100661%
EC   7        6.40571e-05%
RE   6        5.49061e-05%
CL   2        1.8302e-05%
PY   1        9.15101e-06%
SY   0        0%
SA   0        0%
DZ   0        0%
CO   0        0%
AO   0        0%
