Mon Jan  2 22:53:51 UTC 2017
Data Source: torstatus.blutmagie.de

The Tor BSD Diversity Project
https://torbsd.github.io/dirty-stats.html
Quick-and-Dirty Static Reports

'Bandwidth Ranking by Operating System Platform'

Total Tor Network Bandwidth:
10614829 Kbps
-----------
-platform-    -Kbps-   -percent-
Linux         9944039  93.6806%
FreeBSD       545560   5.1396%
OpenBSD       61662    0.580904%
Windows       20346    0.191675%
ElectroBSD    18805    0.177158%
SunOS         14289    0.134614%
a             3972     0.0374193%
Darwin        3933     0.0370519%
NetBSD        1649     0.0155349%
GNU/kFreeBSD  463      0.00436182%
DragonFly     111      0.00104571%
