Mon Jan  9 13:28:41 UTC 2017
Data Source: torstatus.blutmagie.de

The Tor BSD Diversity Project
https://torbsd.github.io/
Quick-and-Dirty Static Reports

'Exit Relays by Country Code'

Total Number of Tor Exit Relays:
869
----------
-num-   -country-  -percent_of_exits-
143        US         16.1218%  
123        FR         13.867%   
76         NL         8.56821%  
75         DE         8.45547%  
52         CA         5.86246%  
42         RU         4.73506%  
40         RO         4.50958%  
35         SE         3.94589%  
33         CH         3.72041%  
30         GB         3.38219%  
21         MD         2.36753%  
20         UA         2.25479%  
14         HU         1.57835%  
14         CZ         1.57835%  
12         FI         1.35287%  
11         NO         1.24014%  
9          PL         1.01466%  
9          IT         1.01466%  
9          BG         1.01466%  
8          IS         0.901917% 
7          TW         0.789177% 
7          SG         0.789177% 
7          SC         0.789177% 
7          HK         0.789177% 
6          SK         0.676437% 
6          LT         0.676437% 
6          ID         0.676437% 
5          LV         0.563698% 
5          BR         0.563698% 
4          PA         0.450958% 
4          LU         0.450958% 
3          ZA         0.338219% 
3          PT         0.338219% 
3          JP         0.338219% 
3          DK         0.338219% 
3          BE         0.338219% 
3          AT         0.338219% 
3          AR         0.338219% 
2          VN         0.225479% 
2          TN         0.225479% 
2          KE         0.225479% 
2          IN         0.225479% 
2          ES         0.225479% 
1          TR         0.11274%  
1          TH         0.11274%  
1          SI         0.11274%  
1          RS         0.11274%  
1          N/A        0.11274%  
1          LR         0.11274%  
1          KZ         0.11274%  
1          KN         0.11274%  
1          IE         0.11274%  
1          HR         0.11274%  
1          GT         0.11274%  
1          GR         0.11274%  
1          EG         0.11274%  
1          DO         0.11274%  
1          CR         0.11274%  
1          AU         0.11274%  
