
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:31 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NUMBER

AS (records)      BANDWIDTH
================  =============================================================
TOTAL (6059)      26161946342
AS16276 (510)     4042254329 (15.5%)
AS12876 (367)     2537886466 (9.7%)
AS24940 (285)     1741770183 (6.7%)
AS14061 (281)     1207522512 (4.6%)
null (91)         648037613 (2.5%)
AS24961 (40)      392782861 (1.5%)
AS51167 (48)      301933932 (1.2%)
AS43350 (16)      283948822 (1.1%)
AS8972 (14)       273924139 (1.0%)
AS6939 (12)       266316686 (1.0%)
AS63949 (183)     251612116 (1.0%)
AS35366 (29)      248847251 (1.0%)
AS3223 (18)       241252089 (0.9%)
AS51395 (19)      232719200 (0.9%)
AS701 (50)        229793487 (0.9%)
AS20473 (104)     198229198 (0.8%)
AS62744 (30)      186782912 (0.7%)
AS13030 (20)      175681625 (0.7%)
AS1103 (6)        172854130 (0.7%)
AS60781 (42)      164055248 (0.6%)
AS37560 (6)       162706834 (0.6%)
AS51177 (21)      152170772 (0.6%)
AS174 (26)        148703222 (0.6%)
AS395978 (2)      146463478 (0.6%)
AS49981 (19)      143606758 (0.5%)
AS31103 (27)      141260098 (0.5%)
AS51852 (22)      136158363 (0.5%)
AS3320 (172)      134005014 (0.5%)
AS5578 (4)        130093624 (0.5%)
AS16591 (8)       126759626 (0.5%)
AS28753 (13)      124184581 (0.5%)
AS1653 (9)        123818149 (0.5%)
AS53667 (17)      121770256 (0.5%)
AS34011 (14)      118470927 (0.5%)
AS58073 (6)       117914439 (0.5%)
AS198093 (6)      117420791 (0.4%)
AS60729 (6)       117071268 (0.4%)
AS62567 (22)      109038913 (0.4%)
AS200651 (21)     107475889 (0.4%)
AS52173 (26)      106255410 (0.4%)
AS15626 (19)      104206276 (0.4%)
AS51765 (19)      103324258 (0.4%)
AS49453 (7)       103090119 (0.4%)
AS200052 (5)      102403489 (0.4%)
AS43289 (25)      101287639 (0.4%)
AS3 (9)           101140159 (0.4%)
AS396507 (4)      100174078 (0.4%)
AS8100 (31)       93699372 (0.4%)
AS42730 (9)       92217264 (0.4%)
AS43317 (15)      91582125 (0.4%)
AS680 (13)        91122948 (0.3%)
AS8560 (16)       90603388 (0.3%)
AS8075 (28)       89040631 (0.3%)
AS3265 (31)       88493180 (0.3%)
AS36351 (12)      86802151 (0.3%)
AS197019 (20)     83129282 (0.3%)
AS60118 (2)       82511690 (0.3%)
AS4224 (12)       81567412 (0.3%)
AS57963 (6)       81295803 (0.3%)
AS197540 (27)     79069610 (0.3%)
AS1101 (3)        77554102 (0.3%)
AS29073 (6)       76487915 (0.3%)
AS15003 (2)       75117055 (0.3%)
AS56322 (12)      74924950 (0.3%)
AS9009 (36)       72655750 (0.3%)
AS6830 (96)       72130679 (0.3%)
AS2119 (25)       70872997 (0.3%)
AS197226 (11)     66680001 (0.3%)
AS3215 (37)       66332508 (0.3%)
AS24800 (4)       65948271 (0.3%)
AS44194 (3)       65854464 (0.3%)
AS8473 (22)       65448347 (0.3%)
AS31798 (31)      63067253 (0.2%)
AS42237 (21)      58272458 (0.2%)
AS16125 (8)       58130026 (0.2%)
AS44220 (7)       56614808 (0.2%)
AS39798 (9)       56587720 (0.2%)
AS25198 (6)       56008126 (0.2%)
AS14907 (2)       55743992 (0.2%)
AS8437 (9)        55384139 (0.2%)
AS553 (9)         54616207 (0.2%)
AS57860 (3)       53724562 (0.2%)
AS395089 (6)      53454651 (0.2%)
AS5408 (14)       52640072 (0.2%)
AS49367 (9)       50739357 (0.2%)
AS24806 (10)      49740339 (0.2%)
AS7922 (87)       49594339 (0.2%)
AS394256 (4)      49472896 (0.2%)
AS59729 (13)      48277428 (0.2%)
AS47610 (3)       46611001 (0.2%)
AS47447 (13)      46455427 (0.2%)
AS40676 (9)       45656041 (0.2%)
AS29691 (4)       45070754 (0.2%)
AS201773 (1)      44510316 (0.2%)
AS1136 (10)       42078869 (0.2%)
AS1835 (3)        40304592 (0.2%)
AS35916 (5)       39097467 (0.1%)
AS32097 (5)       38912024 (0.1%)
AS197422 (2)      38311613 (0.1%)
AS9167 (2)        37912829 (0.1%)
AS50266 (3)       37093692 (0.1%)
AS36850 (2)       36944716 (0.1%)
AS44133 (3)       36763498 (0.1%)
AS29182 (7)       36482408 (0.1%)
AS5588 (2)        36455730 (0.1%)
AS43847 (15)      35729758 (0.1%)
AS197922 (9)      35684344 (0.1%)
AS13213 (8)       35566668 (0.1%)
AS20773 (6)       35447583 (0.1%)
AS12586 (6)       35180690 (0.1%)
AS209 (18)        34961749 (0.1%)
AS21409 (5)       34461015 (0.1%)
AS201401 (1)      34067377 (0.1%)
AS12322 (58)      33484339 (0.1%)
AS31034 (14)      33327156 (0.1%)
AS35592 (6)       33068902 (0.1%)
AS29278 (1)       33068214 (0.1%)
AS12714 (9)       32667098 (0.1%)
AS196750 (2)      32549918 (0.1%)
AS16509 (36)      32459898 (0.1%)
AS8881 (35)       32069046 (0.1%)
AS1257 (3)        31788087 (0.1%)
AS8402 (12)       31435310 (0.1%)
AS28715 (5)       31271467 (0.1%)
AS196689 (7)      31126349 (0.1%)
AS8758 (7)        31067043 (0.1%)
AS40244 (2)       31057515 (0.1%)
AS27176 (1)       30607424 (0.1%)
AS50989 (1)       30336000 (0.1%)
AS34456 (2)       30222336 (0.1%)
AS29695 (8)       30012522 (0.1%)
AS50113 (6)       29848588 (0.1%)
AS25596 (3)       29545960 (0.1%)
AS47277 (2)       28848926 (0.1%)
AS57169 (4)       28328972 (0.1%)
AS49544 (3)       28324002 (0.1%)
AS200019 (9)      27768293 (0.1%)
AS49335 (5)       27345067 (0.1%)
AS8708 (9)        27217775 (0.1%)
AS3301 (13)       27192739 (0.1%)
AS30736 (1)       27159552 (0.1%)
AS30860 (5)       26919009 (0.1%)
AS8551 (6)        26902753 (0.1%)
AS51659 (5)       26717543 (0.1%)
AS3352 (12)       26562610 (0.1%)
AS197595 (5)      26444884 (0.1%)
AS50613 (15)      26191864 (0.1%)
AS16086 (8)       25973313 (0.1%)
AS42541 (2)       25216854 (0.1%)
AS6315 (4)        25132520 (0.1%)
AS33885 (3)       25116203 (0.1%)
AS42610 (13)      25102958 (0.1%)
AS19255 (1)       24826456 (0.1%)
AS15557 (16)      24455267 (0.1%)
AS6128 (9)        24380134 (0.1%)
AS394738 (2)      24182460 (0.1%)
AS30633 (2)       24166440 (0.1%)
AS3790 (9)        24079340 (0.1%)
AS15154 (1)       23969341 (0.1%)
AS21100 (3)       23933218 (0.1%)
AS57043 (3)       23758265 (0.1%)
AS7684 (9)        23643796 (0.1%)
AS56934 (13)      23196489 (0.1%)
AS41011 (2)       22873451 (0.1%)
AS12715 (9)       22848010 (0.1%)
AS87 (1)          22801821 (0.1%)
AS11404 (7)       22399841 (0.1%)
AS766 (1)         22249554 (0.1%)
AS15967 (4)       22238418 (0.1%)
AS41665 (1)       21879308 (0.1%)
AS7018 (21)       21748188 (0.1%)
AS33387 (6)       21643428 (0.1%)
AS48666 (4)       21592285 (0.1%)
AS44381 (1)       21448292 (0.1%)
AS31334 (44)      21205185 (0.1%)
AS34224 (8)       21139633 (0.1%)
AS50673 (7)       21123844 (0.1%)
AS1739 (10)       20814607 (0.1%)
AS8767 (15)       20390646 (0.1%)
AS63473 (10)      20042557 (0.1%)
AS2603 (1)        19973480 (0.1%)
AS5650 (11)       19953531 (0.1%)
AS823 (1)         19700380 (0.1%)
AS29066 (3)       19593598 (0.1%)
AS2607 (2)        19145888 (0.1%)
AS20857 (7)       19120500 (0.1%)
AS28788 (1)       19016004 (0.1%)
AS205406 (3)      18859008 (0.1%)
AS58302 (1)       18416102 (0.1%)
AS14618 (8)       18384630 (0.1%)
AS61157 (4)       18377715 (0.1%)
AS25513 (6)       18291347 (0.1%)
AS50979 (5)       18018748 (0.1%)
AS50360 (3)       17960037 (0.1%)
AS52201 (4)       17897743 (0.1%)
AS198156 (1)      17744896 (0.1%)
