
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:32 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        BANDWIDTH
=======================================================  ======================
TOTAL (6059)                                             26161946342
OVH SAS (512)                                            4042475608 (15.5%)
Online S.a.s. (367)                                      2537886466 (9.7%)
Hetzner Online GmbH (285)                                1741770183 (6.7%)
DigitalOcean, LLC (303)                                  1316561425 (5.0%)
null (91)                                                648037613 (2.5%)
Host Europe GmbH (35)                                    429130910 (1.6%)
myLoc managed IT AG (40)                                 392782861 (1.5%)
Contabo GmbH (48)                                        301933932 (1.2%)
NForce Entertainment B.V. (16)                           283948822 (1.1%)
Hurricane Electric, Inc. (12)                            266316686 (1.0%)
SURFnet bv (12)                                          259404112 (1.0%)
Linode, LLC (183)                                        251612116 (1.0%)
ISPpro Internet KG (29)                                  248847251 (1.0%)
Voxility S.R.L. (18)                                     241252089 (0.9%)
SOFTplus Entwicklungen GmbH (19)                         232719200 (0.9%)
MCI Communications Services, Inc. d/b/a Verizon Bu (50)  229793487 (0.9%)
Choopa, LLC (104)                                        198229198 (0.8%)
ITL Company (40)                                         194435670 (0.7%)
Quintex Alliance Consulting (30)                         186782912 (0.7%)
Init7 (Switzerland) Ltd. (20)                            175681625 (0.7%)
LeaseWeb Netherlands B.V. (42)                           164055248 (0.6%)
CYBERDYNE (6)                                            162706834 (0.6%)
THC Projects SRL (21)                                    152170772 (0.6%)
Cogent Communications (26)                               148703222 (0.6%)
OkServers LLC (2)                                        146463478 (0.6%)
WorldStream B.V. (19)                                    143606758 (0.5%)
Keyweb AG (27)                                           141260098 (0.5%)
Private Layer INC (22)                                   136158363 (0.5%)
Deutsche Telekom AG (172)                                134005014 (0.5%)
BENESTRA, s.r.o. (4)                                     130093624 (0.5%)
Google Fiber Inc. (8)                                    126759626 (0.5%)
Leaseweb Deutschland GmbH (13)                           124184581 (0.5%)
SUNET SUNET Swedish University Network (9)               123818149 (0.5%)
FranTech Solutions (17)                                  121770256 (0.5%)
YISP B.V. (6)                                            117914439 (0.5%)
Foreningen for digitala fri- och rattigheter (6)         117420791 (0.4%)
Makonix SIA (28)                                         117089057 (0.4%)
Zwiebelfreunde e.V. (6)                                  117071268 (0.4%)
Flokinet Ltd (21)                                        107475889 (0.4%)
Oy Creanova Hosting Solutions Ltd. (19)                  103324258 (0.4%)
Global Layer B.V. (7)                                    103090119 (0.4%)
Joshua Peter McQuistan (5)                               102403489 (0.4%)
I.C.S. Trabia-Network S.R.L. (25)                        101287639 (0.4%)
Massachusetts Institute of Technology (9)                101140159 (0.4%)
Emerald Onion (4)                                        100174078 (0.4%)
QuadraNet, Inc (31)                                      93699372 (0.4%)
EVANZO e-commerce GmbH (9)                               92217264 (0.4%)
OOO Fishnet Communications (15)                          91582125 (0.4%)
Verein zur Foerderung eines Deutschen Forschungsne (13)  91122948 (0.3%)
1&1 Internet SE (16)                                     90603388 (0.3%)
Microsoft Corporation (28)                               89040631 (0.3%)
Xs4all Internet BV (31)                                  88493180 (0.3%)
SoftLayer Technologies Inc. (12)                         86802151 (0.3%)
WEDOS Internet, a.s. (20)                                83129282 (0.3%)
Alistar Security Srl (2)                                 82511690 (0.3%)
The Calyx Institute (12)                                 81567412 (0.3%)
Lynet Internett AS (6)                                   81295803 (0.3%)
netcup GmbH (27)                                         79069610 (0.3%)
Quasi Networks LTD. (6)                                  76487915 (0.3%)
Nobis Technology Group, LLC (2)                          75117055 (0.3%)
ServerAstra Kft. (12)                                    74924950 (0.3%)
M247 Ltd (36)                                            72655750 (0.3%)
Liberty Global Operations B.V. (96)                      72130679 (0.3%)
Telenor Norge AS (25)                                    70872997 (0.3%)
sprint S.A. (11)                                         66680001 (0.3%)
Orange (37)                                              66332508 (0.3%)
BornFiber Service Provider ApS (4)                       65948271 (0.3%)
Foerderverein Freie Netzwerke e.V. (3)                   65854464 (0.3%)
Bahnhof Internet AB (22)                                 65448347 (0.3%)
Telia Company AB (17)                                    65335232 (0.2%)
KW Datacenter (31)                                       63067253 (0.2%)
PJSC Rostelecom (33)                                     58350855 (0.2%)
Icme Limited (21)                                        58272458 (0.2%)
UAB Cherry Servers (8)                                   58130026 (0.2%)
Parfumuri Femei.com SRL (7)                              56614808 (0.2%)
MivoCloud SRL (9)                                        56587720 (0.2%)
Netaction Telecom Srl-d (6)                              56008126 (0.2%)
Wikimedia Foundation, Inc. (2)                           55743992 (0.2%)
Tele2 Telecommunication GmbH (9)                         55384139 (0.2%)
Universitaet Stuttgart (9)                               54616207 (0.2%)
Zencurity ApS (3)                                        53724562 (0.2%)
Hextet Systems (6)                                       53454651 (0.2%)
Greek Research and Technology Network S.A (14)           52640072 (0.2%)
Amazon.com, Inc. (44)                                    50844528 (0.2%)
Seflow S.N.C. Di Marco Brame' & C. (9)                   50739357 (0.2%)
INTERNET CZ, a.s. (10)                                   49740339 (0.2%)
Comcast Cable Communications, LLC (87)                   49594339 (0.2%)
Tech Futures Interactive Inc. (4)                        49472896 (0.2%)
KPN B.V. (13)                                            46757756 (0.2%)
RWTH Aachen University (3)                               46611001 (0.2%)
23media GmbH (13)                                        46455427 (0.2%)
Psychz Networks (9)                                      45656041 (0.2%)
Nine Internet Solutions AG (4)                           45070754 (0.2%)
University of Warwick (1)                                44510316 (0.2%)
Danish network for Research and Education (3)            40304592 (0.2%)
MULTACOM CORPORATION (5)                                 39097467 (0.1%)
WholeSale Internet, Inc. (5)                             38912024 (0.1%)
Tetaneutral.net (2)                                      38311613 (0.1%)
Qwest Communications Company, LLC (20)                   37135683 (0.1%)
T-Mobile Thuis BV (3)                                    37093692 (0.1%)
University of North Carolina at Chapel Hill (2)          36944716 (0.1%)
IPAX OG (3)                                              36763498 (0.1%)
JSC ISPsystem (7)                                        36482408 (0.1%)
T-Mobile Czech Republic a.s. (2)                         36455730 (0.1%)
Martin Prager trading as NbIServ (15)                    35729758 (0.1%)
Techcrea Solutions SARL (9)                              35684344 (0.1%)
UK-2 Limited (8)                                         35566668 (0.1%)
GHOSTnet GmbH (6)                                        35180690 (0.1%)
Ikoula Net SAS (5)                                       34461015 (0.1%)
Unithost Internet B.V. (1)                               34067377 (0.1%)
Free SAS (58)                                            33484339 (0.1%)
Aruba S.p.A. (14)                                        33327156 (0.1%)
Time Warner Cable Internet LLC (50)                      33218122 (0.1%)
Coolhousing s.r.o. (6)                                   33068902 (0.1%)
Deninet KFT (1)                                          33068214 (0.1%)
Net By Net Holding LLC (9)                               32667098 (0.1%)
Seti Weba Ltd (2)                                        32549918 (0.1%)
1&1 Versatel Deutschland GmbH (35)                       32069046 (0.1%)
TELE2 (3)                                                31788087 (0.1%)
VimpelCom (12)                                           31435310 (0.1%)
Brass Horn Communications (5)                            31271467 (0.1%)
Digicube sas (7)                                         31126349 (0.1%)
Iway AG (7)                                              31067043 (0.1%)
Turnkey Internet Inc. (2)                                31057515 (0.1%)
JSC ER-Telecom Holding (13)                              30889543 (0.1%)
DataWagon LLC (1)                                        30607424 (0.1%)
SITAB Infrastruktur (1)                                  30336000 (0.1%)
Rial Com JSC (2)                                         30222336 (0.1%)
Altibox AS (8)                                           30012522 (0.1%)
MediaServicePlus LLC (6)                                 29848588 (0.1%)
EDIS GmbH (5)                                            29634838 (0.1%)
Cambrium IT Services B.V. (3)                            29545960 (0.1%)
Simon Frerichs (2)                                       28848926 (0.1%)
i3D.net B.V (3)                                          28324002 (0.1%)
Alexhost Srl (9)                                         27768293 (0.1%)
Mir Telematiki Ltd (5)                                   27345067 (0.1%)
RCS & RDS (9)                                            27217775 (0.1%)
ASERGO Scandinavia ApS (1)                               27159552 (0.1%)
FOP Smirnov V'yacheslav Valentunovuch (5)                26919009 (0.1%)
Bezeq International (6)                                  26902753 (0.1%)
LLC Baxet (5)                                            26717543 (0.1%)
Leaseweb USA, Inc. (3)                                   26591188 (0.1%)
Telefonica De Espana (12)                                26562610 (0.1%)
Obenetwork AB (5)                                        26444884 (0.1%)
