
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NUMBER

AS (records)      CONSENSUS_WEIGHT_FRAC
================  =============================================================
AS16276 (499)     15.2%
AS12876 (392)     10.1%
AS24940 (291)     7.6%
AS14061 (291)     5.0%
null (38)         2.6%
AS8972 (16)       1.5%
AS51177 (17)      1.4%
AS24961 (40)      1.3%
AS51395 (17)      1.1%
AS63949 (201)     1.1%
AS43350 (16)      1.0%
AS51167 (50)      0.9%
AS60781 (46)      0.9%
AS35366 (27)      0.9%
AS37560 (6)       0.9%
AS3223 (12)       0.9%
AS62744 (50)      0.8%
AS49981 (18)      0.8%
AS1103 (6)        0.7%
AS6939 (15)       0.7%
AS60729 (6)       0.7%
AS28753 (15)      0.7%
AS13030 (21)      0.6%
AS58073 (6)       0.6%
AS20473 (106)     0.6%
AS8473 (26)       0.5%
AS31103 (28)      0.5%
AS34011 (15)      0.5%
AS51852 (19)      0.5%
AS395978 (2)      0.5%
AS15626 (19)      0.5%
AS701 (40)        0.5%
AS29695 (11)      0.5%
AS1653 (6)        0.5%
AS197540 (29)     0.4%
AS3 (10)          0.4%
AS198093 (6)      0.4%
AS16591 (9)       0.4%
AS49453 (6)       0.4%
AS174 (26)        0.4%
AS57963 (8)       0.4%
AS15003 (2)       0.4%
AS64474 (1)       0.4%
AS53667 (15)      0.4%
AS200651 (23)     0.4%
AS3320 (184)      0.4%
AS197422 (2)      0.4%
AS8075 (28)       0.4%
AS1101 (3)        0.3%
AS52173 (25)      0.3%
AS8560 (19)       0.3%
AS43317 (16)      0.3%
AS1739 (10)       0.3%
AS25198 (12)      0.3%
AS42730 (10)      0.3%
AS51765 (20)      0.3%
AS680 (13)        0.3%
AS29073 (8)       0.3%
AS44220 (8)       0.3%
AS43289 (25)      0.3%
AS57860 (3)       0.3%
