
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        CONSENSUS_WEIGHT_FRAC
=======================================================  ======================
OVH SAS (501)                                            15.2%
Online S.a.s. (392)                                      10.1%
Hetzner Online GmbH (291)                                7.6%
DigitalOcean, LLC (306)                                  5.2%
null (38)                                                2.6%
Host Europe GmbH (41)                                    2.1%
THC Projects SRL (17)                                    1.4%
myLoc managed IT AG (40)                                 1.3%
SURFnet bv (12)                                          1.2%
SOFTplus Entwicklungen GmbH (17)                         1.1%
Linode, LLC (201)                                        1.1%
NForce Entertainment B.V. (16)                           1.0%
Contabo GmbH (50)                                        0.9%
LeaseWeb Netherlands B.V. (46)                           0.9%
ISPpro Internet KG (27)                                  0.9%
CYBERDYNE (6)                                            0.9%
Voxility S.R.L. (12)                                     0.9%
Quintex Alliance Consulting (50)                         0.8%
WorldStream B.V. (18)                                    0.8%
ITL Company (39)                                         0.7%
Hurricane Electric, Inc. (15)                            0.7%
Zwiebelfreunde e.V. (6)                                  0.7%
Leaseweb Deutschland GmbH (15)                           0.7%
Init7 (Switzerland) Ltd. (21)                            0.6%
YISP B.V. (6)                                            0.6%
Choopa, LLC (106)                                        0.6%
Bahnhof Internet AB (26)                                 0.5%
Keyweb AG (28)                                           0.5%
Private Layer INC (19)                                   0.5%
OkServers LLC (2)                                        0.5%
MCI Communications Services, Inc. d/b/a Verizon Bu (40)  0.5%
Altibox AS (11)                                          0.5%
SUNET SUNET Swedish University Network (6)               0.5%
netcup GmbH (29)                                         0.4%
Massachusetts Institute of Technology (10)               0.4%
Foreningen for digitala fri- och rattigheter (6)         0.4%
Google Fiber Inc. (9)                                    0.4%
Global Layer B.V. (6)                                    0.4%
Cogent Communications (26)                               0.4%
Lynet Internett AS (8)                                   0.4%
